学号,姓名,性别,年级,学院,专业,原学院,原专业,所有课程平均分,所有课程平均绩点,必修课程平均分,必修课程平均绩点
10000000,佚名,男,2000,1,1,1,1,0.00,0.0000,0.00,0.0000
10000001,刘一,男,2000,1,1,1,1,0.00,0.0000,0.00,0.0000
10000002,陈二,男,2000,1,1,1,1,0.00,0.0000,0.00,0.0000
10000003,张三,男,2000,1,1,10003学院,10003专业,80.00,3.0000,85.00,3.3000
10000004,李四,男,2000,1,1,10004,10004,80.00,3.0000,85.00,3.3000
10000005,王五,男,2000,1,1,10005,10005a,80.00,3.0000,85.00,3.3000
11111110,末,男,2000,1,1,测试学院,测试专业,80.00,3.0000,85.00,3.3000
55230004,张三,女,2023,软件学院,数据科学与大数据技术,软件学院,数据科学与大数据技术,80.00,3.0000,85.00,3.3000
55230002,李四,女,2023,软件学院,软件工程,计算机科学与技术学院,计算机科学与技术,80.00,3.0000,85.00,3.3000
22222222,jjj,女,2023,111,111,111,111,80.00,3.0000,85.00,3.3000
13245685,测试过,男,2022,小学院,大专业2,小学院,大专业,80.00,3.0000,85.00,3.3000
12345678,测试员1,女,2023,测试学院111,测试专业2111,测试学院,测试专业2,80.00,3.0000,85.00,3.3000
11223344,一二三,男,2023,三二一,二四六,三二一,二四六,80.00,3.0000,85.00,3.3000
55555555,jhk,女,2024,55667788,66,55,66,80.00,3.0000,85.00,3.3000
11111115,测试呢,女,2024,测测测,是是是,测测测,是是是,80.00,3.0000,85.00,3.3000
10000007,107d,女,2024,10007,10007ddd,10007,10007ddd,80.00,3.0000,85.00,3.3000
10000001,101,女,2024,10001,10001,10001,10001,80.00,3.0000,85.00,3.3000
