学号,姓名,性别,年级,学院,专业
55230055,只因阔,女,2023,软件学院,数据科学与大数据技术
55230002,刘翔,女,2023,软件学院,软件工程
21230003,杜静,女,2023,软件学院,软件工程
21230001,张美丽,男,2023,软件学院,软件工程
20230001,王文静,男,2023,软件学院,软件工程
20230002,刘伟强,女,2023,软件学院,软件工程
21230003,董泰明,男,2023,软件学院,软件工程
22230004,王丽华,女,2023,软件学院,软件工程
20230005,李小明,男,2023,软件学院,软件工程
21230006,段郎仆,女,2023,软件学院,软件工程
22230007,李娟娟,男,2023,软件学院,软件工程
20230008,王军华,男,2023,软件学院,软件工程
21230009,习尾气,女,2023,软件学院,软件工程
21230010,李国强,男,2023,软件学院,软件工程
22230011,王小丽,女,2023,软件学院,软件工程
20230012,李丽丽,男,2023,软件学院,软件工程
21230013,张明明,女,2023,软件学院,软件工程
22230014,王建华,男,2023,软件学院,软件工程
20230015,刘小明,女,2023,软件学院,软件工程
21230016,张小红,男,2023,软件学院,软件工程
22230017,王丽娟,女,2023,软件学院,软件工程
20230018,李建军,男,2023,软件学院,软件工程
21230019,王云飞,女,2023,软件学院,软件工程
21230020,李晓丽,男,2023,软件学院,数据科学与大数据技术
22230021,张文华,女,2023,软件学院,数据科学与大数据技术
20230022,王小华,男,2023,软件学院,数据科学与大数据技术
21230023,李国明,女,2023,软件学院,数据科学与大数据技术
22230024,张明华,男,2023,软件学院,数据科学与大数据技术
20230025,王美丽,女,2023,软件学院,数据科学与大数据技术
21230026,李小华,男,2023,软件学院,数据科学与大数据技术
22230027,张军华,女,2023,软件学院,数据科学与大数据技术
20230028,王丽丽,男,2023,软件学院,数据科学与大数据技术
21230029,李军明,女,2023,软件学院,数据科学与大数据技术
21230030,王小明,男,2023,软件学院,数据科学与大数据技术
22230031,张建国,女,2023,软件学院,数据科学与大数据技术
20230032,李晓华,男,2023,软件学院,数据科学与大数据技术
21230033,王红红,女,2023,软件学院,数据科学与大数据技术
22230034,张小丽,男,2023,软件学院,数据科学与大数据技术
20230035,李丽华,女,2023,物理学院,应用物理学
21230036,王小红,男,2023,物理学院,应用物理学
22230037,张建军,女,2023,物理学院,应用物理学
20230038,李明红,男,2023,物理学院,应用物理学
21230039,王华丽,女,2023,物理学院,应用物理学
22230040,张美华,男,2023,物理学院,应用物理学
20230041,李小军,女,2023,物理学院,应用物理学
21230042,王军明,男,2023,物理学院,应用物理学
21240043,张小军,女,2024,物理学院,应用物理学
22240044,李建华,男,2024,物理学院,应用物理学
20240045,王华明,女,2024,物理学院,应用物理学
21240046,张丽红,男,2024,物理学院,应用物理学
22240047,王国华,女,2024,物理学院,应用物理学
20240048,李小丽,男,2024,物理学院,应用物理学
21240049,张华明,女,2024,物理学院,应用物理学
22240050,王小军,男,2024,物理学院,应用物理学
20240051,李军军,女,2024,物理学院,应用物理学
21240052,张军丽,男,2024,物理学院,应用物理学
22240053,王小华,女,2024,生命科学与技术学院,生物科学
20240054,李小军,男,2024,生命科学与技术学院,生物科学
21240055,张军明,女,2024,生命科学与技术学院,生物科学
22240056,王美华,男,2024,生命科学与技术学院,生物科学
20240057,李华丽,女,2024,生命科学与技术学院,生物科学
21240058,张小明,男,2024,生命科学与技术学院,生物科学
22240059,王建明,女,2024,生命科学与技术学院,生物科学
20240060,李军华,男,2024,生命科学与技术学院,生物科学
21240061,张美丽,女,2024,生命科学与技术学院,生物科学
22240062,王丽华,男,2024,生命科学与技术学院,生物科学
20240063,李建明,女,2024,生命科学与技术学院,生物科学
21240064,张建华,男,2024,生命科学与技术学院,生物科学
22240065,王小红,女,2024,生命科学与技术学院,生物科学
20240066,李红红,男,2024,生命科学与技术学院,生物科学
21240067,张建华,女,2024,生命科学与技术学院,生物科学
22240068,王建军,男,2024,生命科学与技术学院,生物科学
20240069,李芳,女,2024,生命科学与技术学院,生物科学
21240070,张霞,男,2024,生命科学与技术学院,生物科学
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
